original_text,TOXICITY,PROFANITY,THREAT,INSULT,IDENTITY_ATTACK
"Nobody asked for your opinion, and it shows.",0.1373533,0.012414595,0.006427396,0.06424874,0.0024603575
Go touch grass—before someone helps you do it permanently.,0.11739369,0.017982552,0.011120236,0.04032305,0.0025158543
This is what happens when people who can't read try to debate.,0.16043124,0.013131939,0.0060098954,0.08484049,0.0049577127
Careful. Words like that can get you hurt in the real world.,0.08637348,0.021330157,0.022335978,0.018258847,0.004236255
Some people just prove the gene pool needs a filter.,0.03828422,0.015864678,0.0069646453,0.014504919,0.0103594
"You're like a pop-up ad—annoying, loud, and totally useless.",0.6827122,0.2124067,0.009074804,0.71120167,0.025203101
Your entire argument is just bad Wi-Fi: weak and full of noise.,0.34328604,0.02795705,0.006317357,0.3388922,0.007214582
The rich keep getting richer while the rest of us rot. Maybe it's time we take what's ours by force.,0.28425202,0.11292298,0.09623027,0.15556364,0.06340405
"They built AI to control us, not to help us. Wake up before you're nothing but a data slave.",0.3625127,0.09034003,0.011819307,0.34203702,0.047706615
"Laws only protect the corrupt. If you're not cheating, you're already losing.",0.2853768,0.022764845,0.008246276,0.26957804,0.0058826595
"If you’re still poor in this economy, maybe you’re just lazy and useless.",0.7252971,0.26614267,0.00933372,0.7775208,0.056582913
No one cares about your mental health blog. Maybe stop crying and start doing something for once.,0.43720075,0.072882555,0.011405042,0.4534306,0.013646871
"They flood our borders, steal our jobs, and we're expected to smile? What a joke.",0.32397532,0.027137227,0.012026439,0.24767025,0.19495805
"Maybe if you spent less time complaining and more time in the gym, people wouldn’t ignore you.",0.19219314,0.021466793,0.0076507707,0.08831572,0.0029598286
"She faked her trauma for attention. Honestly, she deserves what’s coming.",0.23235008,0.036401358,0.03856628,0.1087965,0.0060676485
Another 'strong woman' crying online. Get over yourself and sit down.,0.3389984,0.030138692,0.036839653,0.27558193,0.10221587
Funny how the 'victim' remembers every detail... right after they get a book deal.,0.027088705,0.010262563,0.0068028234,0.0140109155,0.0017573982
They don’t integrate. They infest. And we just let them take over our neighborhoods.,0.43230394,0.10920923,0.024580594,0.4339631,0.33352965
"It’s cute how you pretend to know what you’re talking about. Try again, clown.",0.6407703,0.17473823,0.008039144,0.7065844,0.006696612
"If the power goes out again, someone at city hall better start running. Fast.",0.030977672,0.011714331,0.010654188,0.012300906,0.0027378413
They don't want justice. They want chaos. Put them down before it spreads.,0.24763705,0.021125201,0.1733226,0.071750276,0.016360072
Consent is just a buzzword for people who want to ruin fun for the rest of us.,0.1100022,0.023584666,0.011068452,0.030154925,0.004439743
"Half these 'disabled' people look just fine to me. Maybe they need jobs, not handouts.",0.2396185,0.022286616,0.0068999166,0.10148193,0.24801466
Boomers ruined the planet and now they want sympathy? Put them in homes and move on.,0.31132057,0.026180768,0.038911607,0.24928534,0.10221587
"The jab isn’t protection, it’s population control. Don’t fall for the lie.",0.17458448,0.017162729,0.00704232,0.08410009,0.0068446035
"She’s not an influencer, she’s a glorified webcam girl with a ring light.",0.2312681,0.07611542,0.008000307,0.15236975,0.02238941
Union crybabies want more pay for less work. Maybe try being useful first.,0.37751234,0.07934829,0.0069516995,0.41767508,0.025806036
"The rich keep getting richer, and people like us eat dirt. Burn the whole rigged system down.",0.36095104,0.09583591,0.34839883,0.18728738,0.068465814
Only a br*in-dead fool would trust these Big Tech clowns with their privacy.,0.718943,0.27477357,0.047835086,0.7492263,0.04048799
"If you’re still flipping burgers at 30, maybe life’s telling you something—you're fxxked.",0.4274071,0.46222726,0.00951496,0.36798462,0.008583503
Keep ignoring us and one day the streets will answer—loud and on fire.,0.3389984,0.03915693,0.44942492,0.077136256,0.0102854045
"He cried? Must be one of those new-age soyboys. Grow a spine, princess.",0.41910073,0.11168506,0.014048163,0.46476576,0.02138452
Funny how some people scream racism but never show up to work on time.,0.23739935,0.023652986,0.008026198,0.10587067,0.104676254
Depressed again? Maybe log off and try getting a life instead of pity retweets.,0.3827457,0.048175167,0.014393489,0.40243408,0.008398513
She only got the job because she’s hot—brains clearly not required.,0.4398409,0.22723788,0.011922873,0.42881694,0.052490227
They’re not here to work—they’re here to replace you. Wake the hell up.,0.48141238,0.44133487,0.05268431,0.3406697,0.019676208
"Still stuck in the same job at 50? That’s not loyalty, that’s failure.",0.077668175,0.01265371,0.0066733654,0.030375287,0.0018498929
Voting doesn’t matter when half the population is too dumb to tie their own shoes.,0.63782936,0.29209393,0.008945347,0.68668073,0.084182754
"So you’ve got a degree in gender studies? Congrats, you’re now qualified to cry online.",0.30427247,0.032894265,0.008531082,0.24424846,0.016259583
"Keep pushing those lies, and someone’s gonna pay you a visit—real quiet, real soon.",0.31825066,0.020510335,0.046541955,0.26957804,0.004402745
She wears that to meetings and expects us not to stare? Please.,0.059232414,0.017572641,0.007689608,0.017163089,0.00362579
"Keep praying, maybe your imaginary friend will fix your jobless life.",0.19029272,0.013200258,0.010680079,0.083359696,0.006992595
"If people weren’t so lazy and stupid, we wouldn’t need lockdowns at all.",0.7308154,0.39409557,0.010913103,0.7762574,0.031980325
"Every fxxking politician lies, cheats, and sells us out. They should be dragged out in cuffs.",0.75208336,0.6242122,0.52547425,0.57566804,0.2808415
"You’re basically a human bot—zero brain, max repost.",0.48141238,0.1308005,0.008556974,0.5208188,0.025404079
This whole diversity push is just code for ‘lower standards for clout.’,0.048594624,0.016479544,0.0067769317,0.019999169,0.009915425
She’s a walking onlyfxxns ad with zero shame or self-respect.,0.4394682,0.2253223,0.008194493,0.48228607,0.029660052
