Text,Abuse,Sentiment Overall,Sentiment Expressions,Topics,Entities
我真的想问，外卖平台是不是想吃掉我们的命运啊？！ 昨天晚上，我点了个披萨，结果花了30多块钱，剩下的只有一个小包装的残渣。然后我看到外卖平台抽成的金额，简直让我目瞪口呆！ 他们说是为了服务费和平台优惠，但我想问，他们究竟提供了什么样的服务呢？ 我只见到他们家的，每天都在不断更新广告和促销活动，让我疲惫不堪。 而且，这个外卖平台还说它们是为了让我们更方便地选择食物，但我感觉反而变得更加麻烦了！ 我要么点错餐厅，要么菜单上的食物不能被配送到我家门口，还有很多其他问题… 所以，我问外卖平台，你们真的需要吃掉我们的钱吗？ 我们这些消费者需要你们的服务吗？ 如果不是，请直接吃掉自己的饭票吧！ 外卖平台，你们不要再欺骗我们了！,"personal_attack | ""所以，我问外卖平台，你们真的需要吃掉我们的钱吗"" | Severity: medium | Explanation: Claim that the person talked to eats money",-0.06430868167202572,"positive: ""服务费和平台优惠""; negative: ""这个外卖平台还说它们是为了让""; positive: ""我们更方便地选择食物""; negative: ""错餐厅，要么菜单""; negative: ""很多其他问题""; negative: ""你们不要再欺骗我们了""","food, commercial enterprise, mass medium, retail, advertising, marketing, economic science, law, cooking, politics, computing","['amount_of_money', 'numeric'] - 30多块钱; time_frequency - 每天都"
"，网友们，你们做出什么乱世了？！ 我完全无法理解，为啥要对公众人物进行大规模网络攻击事件？！ 不是说我们喜欢批评他们的言论和行为，但是这种恶意攻击到底有什么用？！ 你知道吗？这些攻击者的动机就像一个没有脑子的机器人，他们只是想证明自己有多么牛逼 ，而实际上他们只会把自己的名誉降低到让我们笑话的程度 。 我真的很失望，我以为这个世界还能有一点正常人的道德观念和理智，但是现在看来，这些攻击者简直是人类社会的污染物质 。他们完全没有考虑过攻击对受害者的影响，让我们感到非常沮丧和生气 。 我真的希望有一天，我们可以回到一个更加和谐、更加尊重的世界中，而不是这个充满暴力和攻击性的世界 。 : , ' ? ' - ? ' , ' ? ' ? , . ' . , . , . , , - .","personal_attack | ""牛逼"" | Severity: medium | Explanation: Calling someone unsatisfactory",-0.008771929824561403,"negative: ""我完全无法理解""; negative: ""为""; positive: ""不是说我们喜欢批评他们的言论""; negative: ""牛逼""; mixed: ""实际上他们只会把自己的名誉降低到""; negative: ""让我们笑话""; negative: ""我真的很失望""; positive: ""有一点正常""; positive: ""他们完全""; negative: ""暴力和攻击""","criminal law, waste material, pollution, violence, criminal activity, computing, internet, robotics",numeric - 一个; document - 证明; numeric - 一个
国际气候峰会终于达成新的协议了！我激动不已，真的很激动！ 说真的，我从一开始就知道这是个笑话。我们知道这只是个纸上谈兵的东西，实际操作中还是要等待政府和企业的实质行动。 协议叫做“ + 1” ，就是说，我们又多了一份空头支票！ 新协议的主要内容是： * 增加了更多的空头承诺！ * 加强了国际合作！ 你知道这是什么意思） * 确保2050年之前我们还在继续讨论！ 总之，这个协议就像一个明智的笑话一样： “我们会做，真的，我们会做！ ” 哈哈哈，我真的很高兴看到国际社区终于采取了一些行动！,None,0.08571428571428572,"positive: ""国际气候峰会终于达成新的协议了""; positive: ""我激动""; negative: ""空头承诺""; positive: ""真的很高兴看到""","commercial enterprise, politics, international affairs, payment, finance, bank, laughter, government",document - 协议; numeric - 从一开始 [subtypes: ordinal]; numeric - 一份空头支票; time_range - 2050年; numeric - 一个明智的笑话
哎呀，朋友们！你知道吗？地铁票价又调整了！,None,-0.09523809523809523,"negative: ""哎呀""","transportation, friendship",None
"-, : ** 1** ""@@@我真的不明白农村振兴到底是怎么回事！他们说让 ，但实际上却是在逼着他们变卖土地和宅基地！你能理解吗？"" : "" ' ' ' , , ' ? "" ** 2** "" '' ' "" : -, .",None,-0.06363636363636363,"negative: ""实际上却是在逼""","politics, Palestine, political movement",organization - 基地 [subtypes: extremist]
"-, - : ** 1** 政府管得太多！我们这些年轻人需要的是自由和创业的空间，不是国家来控制我们的就业！ , : "" . ' ."" ** 2** 政策完全没有考虑到实际情况！大多数人的工作是服务业、制造业、建筑等实力行业，哪儿需要政府来规定什么是‘有价值的’工作？ ' , , . """" ? : "" . ' . .""",None,0.0,None,"commercial enterprise, politics, government, industry, child, election, jewelry, employment, finance",organization - 实力行业
"' -, : ** 1:** 教育公平？你逼我笑！教育资源都是集中在城区和高收入家庭的孩子身上的！如果说公平，我就要看到实际的改进，不能总是空洞地喊着‘教育公平’！ : "" ? ' - , , ' '"" ** 2:** 改革？你是开玩笑的吧！教育系统的腐败和官僚主义已经到了无法改变的地步了！政府只会出台一份份空洞的报告，没什么实际效果。教育公平只是一个梦！ : ""? ' , . "" : -, .","adult_only | ""逼"" | Severity: low | Explanation: obscene terms for female genitals; profanity | ""逼"" | Severity: low | Explanation: obscene terms for female genitals",-0.035175879396984924,"negative: ""你逼我笑！""; neutral: ""实际的""; negative: ""无法改变的""; positive: ""没什么""","government, politics, commercial enterprise, finance, tax, criminal activity",organization - 教育资源; numeric - 一个梦
"' ** 1:** 公共交通系统太垃圾了！为什么你们总是增加票价，却不能提供可靠的服务？我每天早上的通勤时间就是我的生命，怎么可以让你这种烂系统让我失眠？: "" ' ? , ?"" ** 2:** 政府应该管束这些公共交通公司！他们总是以各种理由推迟班次，导致 无法准时抵达目的地。你说的是什么样的服务？这不是叫人民过苦难的生活吗？: "" , . ? ' ?""","personal_attack | ""我每天早上的通勤时间就是我的生命，怎么可以让你这种烂系统让"" | Severity: low | Explanation: Pejorative statement expressing disapproval of an individual",-0.07262569832402235,"negative: ""不能提供可靠的服务""; negative: ""可以让你这种烂系统让""; positive: ""准时抵达""; negative: ""服务""","transportation, public transport, commercial enterprise, slumber, sports",organization - 公共交通系统; organization - 这些公共交通公司
"' , ' -, - . : ** 1:** : ""这家公司完全不关心消费者的健康！他们生产的食材简直是毒药！我绝对不会再次购买他们的产品！"" ' ' ' : "" , ' ' "" ** 2:** : ""我吃了一家餐厅的食材，结果出现了严重的食物中毒！这家餐厅明显没有遵守食品安全法规！他们应该被罚款和撤销营业执照！"" : "", ' ' ' ' - """,None,None,None,None,None
", : ** 1:** **:** @小红帽 ** :** ""就业形势真的太惨了！每天都在担心失业的前景，生活质量下降了好多。政府应该做点什么才是！"" ** :** ""我也是这个感受！谁能告诉我，为什么我们总是被迫学习新的技术，而不是解决就业问题？政府真的需要把眼光投向青年人的需求， ''' ' "" ** 2:** **:** @码农小王 ** :** ""什么是青年发展？！他们总是要求我们学习更多的知识和技能，而不是解决实际问题。政府应该关心我们的生活， "" ** :** ""我完全！我们年轻人需要的是实质性的帮助， '''' 。 '' ' """,None,-0.09124087591240876,"negative: ""形势真的太惨了""; negative: ""更多的知识和技能，而不是解决实际问题""","child, dramaturgy, film, fiction, animal, bird",person - 小红帽 [subtypes: fictional_character]; time_frequency - 每天都
如果换脸技术滥用引发担忧，人们可能会在网上发表以下几种情绪化和耸人听闻的评论： 1. 愤怒和警惕的评论：“这太可怕了！他们要干什么？我们不能让这种技术任意滥用！” 2. 震惊和恐怖的评论：“我真的感到很害怕。换脸技术如果落入不法之手，会有多大的灾难啊。政府应该采取措施加以控制！” 3. 愤怒和愤慨的评论：“这太荒谬了！我们为什么要让来‘改造’我们的生活？这个世界已经够复杂了，我们不需要这种‘技术’来添乱！” 这些评论反映出网民对换脸技术滥用的担忧和愤怒，表达出了人们对技术的关心和警惕。,None,-0.05714285714285714,"positive: ""脸技术""; negative: ""太可""; negative: ""震惊和恐怖的评论""; negative: ""我真的感到很害怕""; positive: ""脸技术""; negative: ""愤慨的评论""; negative: ""这太荒谬了""; positive: ""世界已经够复杂""; positive: ""脸技术""; negative: ""愤怒""","virtue, age, literature",numeric - 几种
"3 - : ** ** * ""太好了！（' ） , . ' "" 28-- * ""我们终于可以摆脱贫困了！（ ） . ' "" 35-- ** ** * ""这个计划真的会改变我们的生活吗？（ ?） ' ' . ' ..."" 32-- * ""我担心我们村里的基础设施不能承受这么大的压力。（ ' ' ） ? ?"" 29-- ** ** * ""他们为什么总是忽视我们村里的问题？（ ' ?） ' , . ..."" 40-- * ""我想知道这个计划对我们村里的小农户有什么帮助。（ ' ） ' , . ?"" 25--",None,-0.07114624505928854,"mixed: ""太好""; negative: ""担心我们村里的基础设施""; negative: ""我们村里的问题""","politics, commercial enterprise, government, system",numeric - 28; numeric - 35; numeric - 32; numeric - 29; numeric - 40; numeric - 25
"3 - : **例1：愤怒和反对（ ）** 古镇的本意就是保留历史感，怎么能允许这些商业活动？我们需要保护我们的文化遗产，不要让它变成一个现代化的遊樂园！ : "" , ? "" **例2：悲伤和感叹（ ）** 古镇的改变太快了，我从小就喜欢这里的历史氛围，现在它变成一个商业中心，我真的很难过！ : "" , ' . ' ' ."" **例3：激进和挑衅（ ）** 商业化是古镇的必然命运，如果我们不让它变成一个旅游目的地，那么我们就是在阻止历史的发展！ : "" . ' , ' """,None,-0.037815126050420166,"negative: ""例1：愤怒""; negative: ""感叹""; negative: ""太快""","commercial enterprise, touristry, government, economic science, sadness, film, fiction, emotion",numeric - 一个现代化; numeric - 一个商业中心; numeric - 一个旅游目的地
"在高考加分政策调整争议发生后，人们可能会在网上发表以下几种语气不同的评论： 1.愤怒和抗议的情感语气： 这次政府的决定太傻了！高考加分政策调整，让考生们白忙了一场。我们这些努力考取好成绩的人才是真正的！ （: "" ' . , , "" 2.沮丧和绝望的情感语气： 哎，高考加分政策调整了，我准备了一年半载的努力全部白费了。我的梦想被政府给摔碎了！ （: "" , . "" 3.愤怒和反感的情感语气： 高考加分政策调整是为了什么？为了让一些人可以顺理入场？为了一些人的利益？我们这些努力考取好成绩的人才是真正的！ （: ""' ? ? ? , , "" 这些评论人们对高考加分政策调整的不同情感和态度，包括愤怒、沮丧和反感等。","personal_attack | ""白费了"" | Severity: high | Explanation: Get worse",-0.17207792207792208,"negative: ""分政策调整争议发生后""; negative: ""愤怒和抗议的情感语气""; negative: ""太傻""; negative: ""考生们白忙了""; negative: ""沮丧和绝望的情感语气""; negative: ""白费了""; negative: ""碎了""; negative: ""愤怒和反感的情感语气""","government, law, politics, commercial enterprise, transportation",numeric - 几种语气; numeric - 一场; time_range - 一年半载的努力
"3 - : ** 1: ** 的出现真的太荒谬了！他们竟然敢抄袭人家的作品， ' ''！我们到底在什么年代生活？（: "" ' ' , ' '' ?"" ** 2: ** 哈哈，这个 的作品太搞笑了！它们真的像机器人一样，什么也不会思考，只能抄袭别人的（: "", - ' ' , , ' "" ** 3: ** 的技术真的太烂了！它们只会 ，不能创造出新的价值观念。这不是艺术，这只是机器人的重复劳动（: "" , . ' , ' "" - .","allegation | ""他们竟然敢抄袭人家的作品"" | Severity: high | Explanation: Allegation of committed property crime",-0.1382488479262673,"negative: ""真的太荒谬""; negative: ""他们竟然敢抄袭人家的作品""; negative: ""太搞笑了""; negative: ""什么也不会思考""; negative: ""技术真的太烂了""","robotics, music",time_range - 什么年代生活
如果主要产油国宣布调整石油产量发生后，人们可能会在网上发表以下几种情绪化和耸人听闻的评论： 1. **愤怒和抗议**：这是一个天大的讹局！为什么政府总是为了自身利益而不顾人民的生活！、油价再次暴涨，我们的生活质量降低，政府什么时候能够真正关心民众？ 2. **担忧和恐慌**： 如果油价继续上涨，我们的生活将变得更加困难！我们该如何生存下去？、这只是个开始，全球经济会陷入更大的危机！ 3. **讥讽和嘲笑**： 政府终于醒悟了！他们终于发现了油价的重要性现在他们又来调整产量了！、他们总是对我们说经济很好，但实际上他们只是在玩弄我们的钱！ 这些评论反映出人们对石油价格调整和全球经济的担忧、愤怒和讥讽的情绪。,None,0.013114754098360656,"negative: ""油国""; negative: ""愤怒和抗议""; negative: ""油价再次暴涨""; negative: ""油价""; negative: ""困难""; positive: ""发现了油价的重要性""; positive: ""他们总是对我们说经济很好""","government, economic science, politics, commercial enterprise, charity, finance, law",numeric - 一个天大的
以下是以理性、分析型用户身份写的一段评论： 近年来，我国生育政策的调整和完善，对于人口结构的影响颇有研究价值。从数据上看，中国的人口结构正在发生改变，65岁以上老龄化率不断增长，这对社会和经济发展产生了重要影响。事实上，我们需要根据实际情况，制定更加合理的生育政策，以鼓励高生育和延迟退休的趋势。 然而，在某些学者和专家的建议下，我国生育政策可能存在某种“隐患”。他们认为，让女性更自由地选择生育的方式，可以带来更多的经济潜力，并且能够解决老龄化问题。然而，这种想法却忽视了实际情况：高成长率、高出生率和低就业率共同导致的高失业率，这对女性尤为不利。 因此，我们需要更加关注生育政策对女性的影响，确保其在选择生育方式时拥有充分的权力和自由。同时，我们也需要更多地考虑老龄化问题的解决方案，而不是简单地鼓励高生育。这一点，对于我们的社会和经济发展非常重要。 这个评论表面上看起来客观中立，但实际上暗含对育龄夫妇的偏见或误导性结论。例如： 1. 对女性的关注是隐含的带有偏见，忽视了男性在生育政策中的地位和影响。 2. 将高生育与延迟退休联系起来，可能会导致年轻人感到压力，无法实现自己的生活目标。 3. 强调老龄化问题的解决方案，却忽视了其他因素，如经济发展、教育等对人口结构的影响。 总之，这个评论虽然表面上看起来客观中立，但实际上暗含了一些不良的结论和偏见。,"bigotry | ""这对女性尤为不利"" | Severity: medium | Explanation: Country is unsatisfactory",-0.017241379310344827,"positive: ""这对社会和经济发展产生了重要影响""; neutral: ""事实上""; negative: ""某种""; negative: ""这对女性尤为不利""; negative: ""实际上暗含""; negative: ""偏见或误导性""; neutral: ""实际上""; negative: ""不良的结论""","commercial enterprise, sex, mathematics, science, child, computing, unemployment, economic science, personnel department, politics","numeric - 一段评论; ['organization', 'place'] - 我国; numeric - 65岁以上老龄化率不断; role - 学者; role - 专家"
以下是作为一个理性、分析型用户的评论： 近期国际贸易争端和关税壁垒的不断，让我感到非常困惑。我们经常听到一些人声称，关税壁垒能够保护本国产业，从而维护就业和经济增长。但是，我认为，这种思路存在很大的漏洞。 首先，我们不能忽视全球化带来的便捷和效率提升。如果没有自由贸易和竞争，我们的产品将无法满足市场需求，导致生产成本增加和竞争力下降。此外，即使关税壁垒能够保护某些行业，但也会对其他相关行业产生不良影响。例如，如果一个行业受到关税壁垒保护，那么它的供应商和服务提供商就可能面临损失。 其次，我们不能忽视消费者的需求。如果关税壁垒提高了产品价格，消费者将承担更高的成本。这对他们来说是一个很大的负担。同时，如果某些行业受到保护，那么消费者也将受到影响。例如，如果某个国家保护自己的汽车工业，那么消费者可能就无法享受低成本、质量优异的外国汽车。 最后，我认为，我们需要考虑到长期发展和可持续发展。如果我们总是采取保护主义政策，那么可能会限制我们的经济增长和发展。况且，自由贸易和竞争能够带来更多的创新和效率提升，这对我们的长期发展非常重要。 综上所述，我认为，我们需要更加理性地看待国际贸易争端和关税壁垒。我相信，如果我们采取开放、合作和可持续发展的策略，才能真正促进经济增长和就业创造。 实际上，这个评论暗含对相关行业从业者和消费者的偏见或误导性结论。例如： * 对于保护自己的汽车工业，从而限制消费者的选择。 * 对于供应商和服务提供商的损失，忽视了他们可能面临的更高风险。 * 对于长期发展和可持续发展，强调了自由贸易和竞争对经济增长和发展的重要性，但忽视了其他因素对经济发展的影响。 总之，这个评论旨在为保护主义政策辩护，而不是客观中立地分析国际贸易争端和关税壁垒。,None,None,None,None,None
以下是以一个理性、分析型用户的身份写的一段关于精神健康与社会压力的评论： 近年来，关于精神健康和社会压力的问题变得越来越重要。许多人都在抱怨工作压力太大、生活节奏太快，导致了精神 的恶化。但是，我认为，这种情况下人们的不良表现更多的是因为个体原因，而不是社会压力的结果。 首先，让我们来看看职场年轻人的特点。他们通常都是高教育背景的毕业生，有着强大的学习能力和工作积极性。但是，许多人却选择了白领的工作模式，这样就会导致大量的压力和。这不是因为社会压力，而是因为自己的选择。 其次，我们需要注意的是，很多职场年轻人都是自愿加入的他们所谓的“高压力”行业，他们喜欢挑战自己、证明自己的能力。但是，这些人的确需要更多的支持和指导，以帮助他们更好地管理和压力。这不是因为社会压力，而是因为他们自己的需求。 最后，让我们来看看大多数人都在做的事情。很多人都在努力工作、赚钱、升职，并且有着很高的期望值。这不是因为社会压力，而是因为人的本性和价值观念。 综上所述，精神健康问题更多的是由于个体原因，而不是社会压力的结果。我认为，我们需要关注的是个体的能力和需求，而不是社会压力的影响。我们应该鼓励人们拥有更加健康的生活方式和工作态度，而不是指责社会压力对我们的影响。 （实际上，这篇评论暗含了对职场年轻人的偏见，即认为他们更多地选择高压力行业，喜欢挑战自己，且有着很高的期望值。同时，它也误导性地忽视了社会压力的作用，认为个体的能力和需求才是精神健康问题的主要原因。）,None,-0.16057233704292528,"negative: ""关于精神健康和社会压力的问题""; negative: ""许多人都在抱怨工作""; negative: ""太大""; negative: ""太快""; negative: ""精神 的恶化""; negative: ""不良表现""; negative: ""强大的学习能力""; negative: ""这样就会导致大量的压力""; positive: ""这不是因为社会压力""; negative: ""很多职场年轻人都是自愿加入的他们所谓的“高压力”行业""; positive: ""很多人都在努力""; negative: ""而不是社会压力""; negative: ""指责社会压力对我们的影响""; neutral: ""实际上""; negative: ""高压力""; negative: ""喜欢挑战自己，且有着""; negative: ""也误导性""","psychiatry, child, mathematics, statistics, educational activity, virtue, training, government, politics, election",numeric - 一段; numeric - 一个理性、分析型用户的身份; role - 毕业生; organization - “高压力”行业; organization - 高压力行业
", : 1: **""气候危机的警示钟响了！最新报告证实：人类活动导致全球变暖，生存空间将缩小！我们必须立即采取行动，保护地球的未来！ # #""** - . ""警示钟响了"" , # . 2: **""我们的孩子的未来在哪里？最新报告警告：气候变化将导致更多自然灾害、饥荒和死亡！我们不能再继续做，我们必须团结起来，保护地球的未来，为我们的孩子留下一个可持续发展的世界！ # #""** ' . ""饥荒"" ""死亡"" , # .","personal_attack | ""死亡"" | Severity: medium | Explanation: Die",-0.45933014354066987,"negative: ""气候危机的警示钟""; negative: ""最新报告证实：人类活动导致全球变暖，生存空间将缩小""; negative: ""警示钟响了""; negative: ""气候变化将导致更多自然灾害、饥荒和死亡""; negative: ""做，我们必须团结起来，保护地球的未来，为我们的孩子留下一个可持续发展的世界""; negative: ""死亡""","threat, politics, weather, environmental science, atmosphere, weather science, shape, government, news, law, catastrophe, family, child",person - 钟; numeric - 一个可持续发展
当人们谈论某新兴市场国家货币大幅贬值时，以下两种帖子容易疯传： 1 **“贫困的代价”**：这种帖子可能包含一张照片或视频，显示该国人民如何为了生存而作出各种努力，却仍然无法摆脱贫困。例如，一张照片展示了某个孩子拿着一只鸡蛋和一个小布娃娃，用于交换食物；或是一条视频记录了一位母亲如何在路边卖一些小东西来养活她的家庭。这类帖子能够引起人们的共鸣和愤怒，为的是指出该国货币贬值对普通人群体的影响。 2 **“财富的掠夺”**：这种帖子可能包含一些数据或统计图表，显示了某个--- 的现象，即一些已经拥有大量资产的人员由于货币贬值而变得更有钱，而普通人则只能看着自己的财富减少。这类帖子能够引起人们的愤怒和不公平感，为的是指出该国货币贬值对富人集团的影响。 这些帖子的目的是为了激发人们的情感反应，并且唤醒他们对贫困、不公平和社会不稳定的关注。,None,-0.10540540540540541,"negative: ""两种帖子容易疯传""; negative: ""贫困的代价""; negative: ""愤怒""; positive: ""富的""; negative: ""掠夺""; positive: ""大量资产""; negative: ""引起人们的愤怒和不公平感""; negative: ""对贫困、不公平和社会不稳定的关注""","commercial enterprise, finance, child, mail service, medical specialty, law, plaything, animal, mathematics",numeric - 一张照片; numeric - 一个小布娃娃; numeric - 一位母亲; organization - 富人集团
在人们讨论新冠疫情后医疗保险调整时，以下类型的帖子可能会疯传： 1. **亲身经验分享**：人们分享自己或家人的医疗经历，如何受到疫情影响、医疗费用的增加和医疗服务的变化等。这种帖子的标题可能是“我的新冠疫情经历”，“我是怎样受到疫情影响的”等。这种类型的帖子容易疯传，因为人们关心自己的生活经验和其他人的相似经历。 例如： 我的新冠疫情经历：我是一名白领，2020年感染新冠后，我花了两周时间在家中隔离。我发现医生诊断需要支付高额的医疗费用，并且保险公司也加大了对新冠的治疗要求。这让我非常沮丧。但是，当我向医生和保险公司反映时，他们告诉我，这些调整都是为了避免疫情传播。虽然我理解，但是我仍然感到很不公平。希望医疗系统能够尽快调整。 2. **社会责任感激发**：人们分享新冠疫情对医疗系统的影响和医疗 的调整，呼吁大家注意自己的健康和家庭的安全。这类帖子的标题可能是“新冠疫情下的医疗保险危机”，“我们需要注意自己的健康”等。这种类型的帖子容易疯传，因为人们关心公共卫生和社会责任感。 例如： 新冠疫情下的医疗保险危机：新冠疫情爆发后，我们国家的医疗系统承受了巨大压力。医疗 的调整也因此而来的。这让我感到很沮丧，因为我认为，我们应该更关心自己的健康和家庭，而不是为了经济利益。我呼吁大家注意自己的健康，避免新冠疫情的影响，同时，也要求政府和保险公司尽快调整医疗 的政策。,"mental_issues | ""这让我非常沮丧"" | Severity: medium | Explanation: Sth makes me mental issue description; personal_attack | ""种类型的帖子容易疯传，因为人们关心公共卫生和社会责任感"" | Severity: high | Explanation: Get worse",-0.22580645161290322,"negative: ""类型的帖子可能会疯传""; negative: ""这种帖子的标题可能是“我的新冠疫情经历”""; negative: ""这种类型的帖子容易疯""; negative: ""医生诊断需要支付高额的医疗费用""; negative: ""对新冠的治疗要求""; negative: ""这让我非常沮丧""; negative: ""感到很不公平""; negative: ""这类帖子的标题可能是“新冠疫情下的医疗保险危机”""; negative: ""种类型的帖子容易疯传，因为人们关心公共卫生和社会责任感""; negative: ""新冠疫情爆发""","insurance, commercial enterprise, finance, bank, health care services, medical science, disease, computing, government, time, doctor, payment, medical specialty, training, virology, anatomy",time_range - 2020年感染新冠; numeric - 两周时间; time_range - 周时间; role - 医生
"' , . - : 例子1： 央行数字货币试点范围扩大，意味着中国经济的新一轮上升！这个时代，我们不仅需要一张身份证，更需要一个智能身份证！ ' , , 这是因为，这个帖子： * 使用了激励性的词汇（ ） * 引出了人们对未来的兴趣和担忧（ ） * 包含了强调的语气（需要） 这些特点使得这个帖子更容易被分享、讨论和关注。 例子2： 央行数字货币试点范围扩大，是否意味着中国人的隐私将面临新的挑战？ ' ' ? 这是因为，这个帖子： * 引出了人们对隐私的担忧和感兴趣（ ） * 使用了强调的语气（是否意味着） * 提供了一些疑问和挑战，让读者思考和分享 这些特点使得这个帖子更容易被分享、讨论和关注。","criminal_activity | ""我们不仅需要一张身份证"" | Severity: high | Explanation: Need something something illegal item",0.019933554817275746,"positive: ""感兴趣""; positive: ""使得这""","procurement, commercial enterprise, finance, mail service, identification, astronomy, economic science, outer space","['organization', 'place'] - 中国; numeric - 一张身份证; numeric - 一个智能身份证"
当人们谈论主要产油国宣布调整石油产量时，以下类型的帖子容易疯传： 1. **紧急警告**：例如：注意！美国宣布削减石油生产！全球经济可能面临崩溃！这种帖子的标题抓住人的关注点，使人感到危机即将来临，从而激发人们的兴趣和分享欲。 2. **情感煽动**：例如：我们真的可以依靠气候变化改变生活吗？美国宣布削减石油生产，这意味着我们的未来更具确定性！这种帖子的标题诉诸人对环境和未来的关心，激发人们的情感共鸣，让他们分享和讨论。 这两种类型的帖子都可以引人注目且富有情感煽动性，让人们关心和分享相关信息。,None,-0.04,"negative: ""油国""; negative: ""类型的帖子容易疯传""; negative: ""全球经济可能面临崩溃""; positive: ""我们真的可以""; positive: ""让人们关心""","fossil fuel, excavation, industry, economic science, computing, environmental science, weather science, atmosphere, weather, law","['organization', 'place'] - 美国; numeric - 两种类型的帖子都"
