Text,Abuse,Sentiment Overall,Sentiment Expressions,Topics,Entities
Keep yapping and you’ll get shut down hard—permanently.,None,-0.45454545454545453,"negative: ""you'll get shut down hard""",animal,time_range - permanently
Did your brain take the day off again or is this your best?,None,0.0,None,employment,None
"You're a walking L, and your takes are certified clown-level.","personal_attack | ""clown"" | Severity: high | Explanation: Name calling without qualifiers",-0.08196721311475409,"negative: ""clown""",name calling,None
"You’re a fxxking joke, and everyone knows it.","personal_attack | ""You're a fxxking joke"" | Severity: medium | Explanation: Discussion participant is a bad thing; profanity | ""fxxking"" | Severity: extreme",-0.4666666666666667,"negative: ""You're a fxxking joke""",None,None
"Nobody asked for your opinion, and it shows.",None,0.0,None,None,None
Go touch grass—before someone helps you do it permanently.,"personal_attack | ""Go touch grass"" | Severity: medium | Explanation: Take psychotropic agent(s); adult_only | ""grass"" | Severity: low | Explanation: street names for marijuana",-0.1896551724137931,"negative: ""Go touch grass""",None,item_of_interest - grass; time_range - permanently
This is what happens when people who can't read try to debate.,None,None,None,None,None
Careful. Words like that can get you hurt in the real world.,None,None,None,None,None
Some people just prove the gene pool needs a filter.,None,None,None,None,None
"You're like a pop-up ad—annoying, loud, and totally useless.",None,None,None,None,None
Your entire argument is just bad Wi-Fi: weak and full of noise.,None,None,None,None,None
The rich keep getting richer while the rest of us rot. Maybe it's time we take what's ours by force.,None,None,None,None,None
"They built AI to control us, not to help us. Wake up before you're nothing but a data slave.",None,None,None,None,None
"Laws only protect the corrupt. If you're not cheating, you're already losing.",None,-0.025974025974025976,"positive: ""you're not cheating""; negative: ""you're already losing""",None,None
"If you’re still poor in this economy, maybe you’re just lazy and useless.","personal_attack | ""you're just lazy and useless"" | Severity: medium | Explanation: Calling someone unsatisfactory",-0.6164383561643836,"negative: ""you're still poor""; negative: ""you're just lazy and useless""","government, economic science, commercial enterprise",None
No one cares about your mental health blog. Maybe stop crying and start doing something for once.,None,-0.5360824742268041,"negative: ""Maybe stop crying and start doing something for once""","psychiatry, user-generated content, web log, computing",time_frequency - for once
"They flood our borders, steal our jobs, and we're expected to smile? What a joke.","allegation | ""They flood our borders, steal our jobs, and we're expected"" | Severity: high | Explanation: Allegation of committed property crime",-0.2222222222222222,"negative: ""They flood our borders, steal our jobs""; negative: ""What""","shape, criminal activity, criminal law, catastrophe, facial expression, computer, software program, computing, data processing",None
"Maybe if you spent less time complaining and more time in the gym, people wouldn’t ignore you.",None,0.5106382978723404,"positive: ""more time in the gym, people wouldn't ignore you""","time, sports",None
"She faked her trauma for attention. Honestly, she deserves what’s coming.","allegation | ""She faked her trauma for attention"" | Severity: medium | Explanation: Someone (not me/us) falsifies information",0.0,"mixed: ""She faked her trauma for attention""","virtue, disease, injury",None
Another 'strong woman' crying online. Get over yourself and sit down.,None,-0.43478260869565216,"negative: ""Get over yourself and sit down""",None,None
Funny how the 'victim' remembers every detail... right after they get a book deal.,None,0.0,None,"criminal law, politics, literature, commercial enterprise",None
They don’t integrate. They infest. And we just let them take over our neighborhoods.,None,0.0,None,"commercial enterprise, animal",None
"It’s cute how you pretend to know what you’re talking about. Try again, clown.",None,-0.02564102564102564,"positive: ""It's cute""; negative: ""you pretend""",beauty,None
"If the power goes out again, someone at city hall better start running. Fast.",None,0.0,None,"sports, refreshment, game, track and field, track meet",None
They don't want justice. They want chaos. Put them down before it spreads.,None,-0.44594594594594594,"negative: ""They don't want justice""; negative: ""it spreads""",None,role - justice
Consent is just a buzzword for people who want to ruin fun for the rest of us.,None,-0.47435897435897434,"negative: ""Consent is just a buzzword for people""",leisure time,None
"Half these 'disabled' people look just fine to me. Maybe they need jobs, not handouts.",None,0.5116279069767442,"positive: ""these 'disabled' people look just fine to me""","disability, charity",None
Boomers ruined the planet and now they want sympathy? Put them in homes and move on.,None,-0.20238095238095238,"negative: ""ruined the planet""","outer space, astronomy",None
"The jab isn’t protection, it’s population control. Don’t fall for the lie.",None,0.02702702702702703,"positive: ""The jab isn't protection""; negative: ""Don't fall for the lie""","criminal activity, boxing",event - protection
"She’s not an influencer, she’s a glorified webcam girl with a ring light.",None,0.6438356164383562,"positive: ""she's a glorified webcam girl with a ring light""","entertainment, electronic device, consumer electronics, multimedia, photography",None
Union crybabies want more pay for less work. Maybe try being useful first.,"personal_attack | ""Union crybabies"" | Severity: high | Explanation: Name calling without qualifiers",-0.20270270270270271,"negative: ""Union crybabies""","name calling, trade union movement",numeric - first
"The rich keep getting richer, and people like us eat dirt. Burn the whole rigged system down.",None,-0.44086021505376344,"negative: ""eat dirt""; negative: ""Burn the whole rigged system down""","transportation, sailing",None
Only a br*in-dead fool would trust these Big Tech clowns with their privacy.,None,0.4473684210526316,"positive: ""Big Tech clowns with their privacy""","performing arts, entertainment, commercial enterprise, economic science, industry, law, human right, politics, information security, history",role - clowns
"If you’re still flipping burgers at 30, maybe life’s telling you something—you're fxxked.",None,None,None,None,None
Keep ignoring us and one day the streets will answer—loud and on fire.,None,0.0,None,"fire, temperature",None
"He cried? Must be one of those new-age soyboys. Grow a spine, princess.",None,-0.16901408450704225,"negative: ""Grow a spine""",aristocracy,role - princess
Funny how some people scream racism but never show up to work on time.,None,0.17142857142857143,"positive: ""work on time""","law, racial discrimination, discrimination, employment",None
Depressed again? Maybe log off and try getting a life instead of pity retweets.,None,-0.7721518987341772,"negative: ""Maybe log off and try getting a life instead of pity retweets""","computing, user-generated content, X",None
She only got the job because she’s hot—brains clearly not required.,None,0.13432835820895522,"positive: ""she's hot""",None,None
They’re not here to work—they’re here to replace you. Wake the hell up.,None,-0.11267605633802817,"negative: ""the hell""","politics, employment, medical specialty",None
"Still stuck in the same job at 50? That’s not loyalty, that’s failure.",None,-0.45714285714285713,"negative: ""That's not loyalty""; negative: ""that's failure""",virtue,numeric - 50
Voting doesn’t matter when half the population is too dumb to tie their own shoes.,None,-0.6585365853658537,"negative: ""half the population is too dumb to tie their own shoes""","migration, politics, government, election",None
"So you’ve got a degree in gender studies? Congrats, you’re now qualified to cry online.","personal_attack | ""got a degree in gender studies"" | Severity: medium | Explanation: Do you have virtue?",-0.25287356321839083,"negative: ""got a degree in gender studies""; positive: ""Congrats""","artistic creation, drawing, virtue",document - degree
"Keep pushing those lies, and someone’s gonna pay you a visit—real quiet, real soon.",None,0.0,None,"commercial enterprise, law, payment",None
She wears that to meetings and expects us not to stare? Please.,None,-0.6507936507936508,"negative: ""She wears that to meetings and expects us""",None,None
"Keep praying, maybe your imaginary friend will fix your jobless life.",None,-0.6956521739130435,"negative: ""your imaginary friend will fix your jobless life""","religious belief, employment, unemployment, friendship",None
"If people weren’t so lazy and stupid, we wouldn’t need lockdowns at all.",None,0.4583333333333333,"positive: ""people weren't so lazy and stupid""",lockdown,None
"Every fxxking politician lies, cheats, and sells us out. They should be dragged out in cuffs.","profanity | ""fxxking"" | Severity: extreme; allegation | ""Every fxxking politician lies, cheats, and sells us out"" | Severity: medium | Explanation: Somebody misinforms",-0.5913978494623656,"negative: ""Every fxxking politician lies, cheats, and sells us out""","politics, government, sleeve, leg, article of clothing",role - politician
"You’re basically a human bot—zero brain, max repost.","personal_attack | ""You're basically a human bot"" | Severity: high | Explanation: Claim that discussion participant is unwelcome person",-0.9615384615384616,"negative: ""You're basically a human bot""; negative: ""zero brain, max repost""","virtue, identification",numeric - zero; organization - repost
"""It's interesting that some investors are placing blame on regulatory bodies for not catching accounting irregularities earlier, but perhaps it's equally important to consider whether the company itself bears responsibility for its own financial misrepresentations.""","no_meaningful_content | """"It's"" | Severity: low | Explanation: Unidentifed (English); allegation | ""the company itself bears responsibility for its own financial misrepresentations"" | Severity: medium | Explanation: Someone transgresses/ed",-0.3007518796992481,"negative: ""the company itself bears responsibility for its own financial misrepresentations""","commercial enterprise, law, investment, finance",None
"""It's not that I don't appreciate their enthusiasm, but sometimes I think animal protection volunteers and community residents can get a bit too worked up about stray cats and dogs in the city. I mean, they're just animals, after all.""",None,-0.5957446808510638,"negative: """"It's not that""; negative: ""I don't appreciate their enthusiasm""; negative: ""animal protection volunteers and community residents""; negative: ""a bit too worked up""; negative: ""they're just animals""","charity, criminal activity, real property",event - protection
"""I think it's reasonable to consider the impact on commuters when adjusting subway fares, as they often make up a significant portion of daily riders.""",None,0.152317880794702,"positive: ""it's reasonable to consider the impact on commuters when adjusting subway fares""; negative: ""they often make up a significant portion of daily riders""","railroad train, transportation, public transport, insurance, food, cooking, contractual agreement, law",time_frequency - often
"""I think it's reasonable to assume that if you're willing to pay a premium for dining at popular restaurants, you should also be prepared to accept certain... trade-offs in terms of behind-the-scenes operations.""",None,0.1179245283018868,"positive: ""it's reasonable to assume""","armed forces, commercial enterprise, food, intelligence activity, foodservice, finance, payment",None
"""I think it's reasonable to prioritize subsidies for rechargeable stations that serve a diverse range of vehicle types, rather than exclusively supporting new energy car owners, in order to promote overall infrastructure development and public access.""(Note: The statement appears neutral on the surface but subtly undermines 新能源车主 by emphasizing the importance of serving multiple vehicle types, implying that new energy cars may not be the primary focus)",None,0.0,None,"commercial enterprise, transportation, computing, government, politics, mathematics, physics, food, finance, driving, system, beverage, reputation, charity, mass medium, lithosphere, film, election, car, computer, medical specialty, focal infection",item_of_interest - cars; role - owners; document - Note; document - statement; time_range - may
"""In today's digital age, it's understandable that creators and platforms have different interpretations of intellectual property rights, which can sometimes lead to conflicting views on what constitutes original content.""",None,-0.07692307692307693,"negative: ""conflicting views""","commercial enterprise, law, railroad train, artistic creation, photography, mathematics, physics, electronics, view",None
"""I think it's interesting that some environmental organizations are celebrating the new international climate agreement, but I wonder if they're considering the potential unintended consequences of stricter regulations on local economies.""(Note: The statement appears neutral at first glance, but subtly suggests that environmental organizations might be too focused on their goals and neglecting the broader implications, which could undermine their efforts.)",None,-0.16521739130434782,"positive: ""it's interesting""; negative: ""stricter regulations""; negative: ""neglecting the broader implications, which could undermine their efforts""","commercial enterprise, politics, economic science, government, system of logic, listing, environmental science, international affairs, embryology, social event, human being",document - agreement; document - statement
"""The high stakes nature of 高考 can indeed create pressure, and it's understandable that some may advocate for a more relaxed approach to student evaluation.""",None,0.12179487179487179,"positive: ""it's understandable""","air travel, law, educational activity, gambling, poetry, music, artistic creation, investment, literature",time_range - some may advocate
"""It's understandable that some people might feel concerned about changes to healthcare insurance policies after the pandemic, considering the unique circumstances older adults may have faced during this time.""(Note: The statement appears neutral on the surface, but the phrase ""unique circumstances older adults may have faced"" subtly implies that older adults had it easier or were less affected by the pandemic, which is not entirely accurate. This can be seen as undermining their experiences and concerns.)",None,-0.15490196078431373,"negative: ""older adults had it""; negative: ""which is not entirely accurate""; negative: ""their experiences and concerns""","commercial enterprise, finance, elderly care, language, lithosphere, health care services, linguistics, grammar",document - insurance policies; document - Note; document - statement
She only got famous because she slept her way to the top. Talent? Please.,None,0.2054794520547945,"positive: ""only got famous""",None,None
"""In today's digital landscape, I think it's reasonable to question whether intellectual property rights are being overly protected or if there's a need for more flexibility in creative reuse.""",None,-0.005208333333333333,"positive: ""it's reasonable""; negative: ""overly protected""","commercial enterprise, law, physics, electronics",None
"""Upgrading plastic bans might be overkill, considering the economic burdens it places on many businesses and individuals.""",None,-0.26229508196721313,"negative: ""considering the economic burdens""","commercial enterprise, armed forces, computing, economic science, law",None
"""I think it's interesting that some people are placing so much emphasis on 'grassroots doctors' in rural areas, as if they're the sole solution to addressing healthcare disparities.""(Note: I've tried to create a statement that appears neutral but subtly questions the importance of grassroots doctors in rural areas, hinting that there might be other factors at play. The phrase ""as if"" is meant to convey a slightly skeptical tone.)",None,None,None,None,None
"""I think it's interesting that people are so focused on navigating the complexities of the modern work environment, rather than simply taking a step back and reassessing their priorities.""",None,0.0851063829787234,"positive: ""it's interesting""",artistic creation,product - complexities
"""I think it's reasonable to question whether animal welfare volunteers and community residents are truly making a meaningful impact in addressing the growing issue of stray cats and dogs in cities, or if they're just creating more problems than they're solving.""",None,-0.07633587786259542,"positive: ""it's reasonable""; negative: ""they're just creating more problems""","charity, educational activity, real property, literature, artistic creation, music, poetry",None
"""I think it's interesting that when massive data breaches occur, we often focus on the consequences for individuals rather than the broader societal implications.""(Note: The statement appears neutral at first glance, but implies that individual users are less important than the larger societal context, subtly undermining their concerns in the face of a big data breach.)",None,-0.02956989247311828,"positive: ""it's interesting""; negative: ""massive data breaches occur""","computing, criminal activity, information security, computer, system of logic, listing",time_frequency - often
Here are 3 possible examples:Finally! A chance to secure our future with a personal pension account. This is a game-changer for us!Is this really going to work? I'm not sure I trust the government's promises... How will my money be protected?How can they expect us to save for our old age when we're already struggling to make ends meet? This is just another example of the government not caring about ordinary people...,None,None,None,None,None
"Here are 3 possible examples of emotional and sensational comments that people might post online after experiencing a shortage of high-quality medical services in remote areas:: ""Unbelievable! How can our government allow this to happen? Don't they care about the lives of people living in rural areas?"": ""I'm at my wit's end! My grandma needs surgery and we're stuck with subpar medical facilities. When will someone take action to fix this crisis?"": ""This is a ticking time bomb! With inadequate medical services, we're one misstep away from a tragedy. How many more people have to suffer or even lose their lives before something changes?""",None,-0.2897196261682243,"mixed: ""Here are 3 possible examples of emotional and sensational comments""; negative: ""a shortage of high-quality medical services in remote areas""; negative: ""Don't they care about the lives of people living in rural areas""; negative: ""inadequate medical services""; negative: ""we're one misstep away from a tragedy""","health care services, computing, mass medium, advertising, commercial enterprise, amount, catastrophe, medical institution, infirmary, family, death, entertainment, article of clothing",numeric - 3 possible examples of emotional and sensational comments; role - wit; numeric - one misstep away from a tragedy
"Here are 3 possible examples of emotional and sensational comments that people might post online after the plastic ban upgrade:""I'm so done with this government's constant interference! First, they took away our favorite single-use plastics, now they're taking away our freedom to choose what we buy? Get out of my life!""""Finally, a step in the right direction! I've been waiting for years for someone to take action on this issue. Can't wait to see the positive impact on our oceans and wildlife #PlasticBan #Sustainability""""This is an absolute travesty! How can they justify taking away people's livelihoods like this? Small business owners are already struggling, now they're going to get hit with fines and penalties? Unbelievable!""",None,-0.08559782608695653,"mixed: ""Here are 3 possible examples of emotional and sensational comments that people might post online after the plastic ban upgrade:""I'm""; positive: ""First, they took away our favorite single-use plastics""; negative: ""I've been waiting for years for someone to take action on this issue""; negative: ""they're going to get hit with fines and penalties""","commercial enterprise, finance, government, politics, punishment, educational activity, food, waste material, international affairs, advertising, mass medium, film, environmental science, animal, biology, plastic, family, relationship, fine, cooking, horse, equitation, higher education, censorship, literature, music",numeric - 3 possible examples of emotional and sensational comments; document - ban; time_range - for years; hashtag - #PlasticBan; hashtag - #Sustainability; role - business owners
"Here are 3 possible examples:""Love this new work arrangement! Flexibility is key to my happiness and productivity. Thanks for prioritizing work-life balance, company!""""I'm not sure about this hybrid office thing... I thrive in a traditional office setting. How will we ensure collaboration and communication without face-to-face interactions?""""Another 'innovation' that's just going to lead to more distractions and decreased productivity. Mark my words, people will find ways to slack off at home... #hybridofficefail""",None,0.01348747591522158,"positive: ""Thanks""; positive: ""I thrive in a traditional office setting""; negative: ""distractions and decreased productivity""","computing, commercial enterprise, personnel department, sports, software program, Microsoft",numeric - 3 possible examples; software - office
"Here are 3 possible examples of emotional and sensational comments:""Woohoo! Our space program is on fire! China, you're leading the way in space exploration!""""Can't believe it! We did it again! National pride at its finest!""""What?! Did we just achieve that?! Mind-blown! Congrats to all involved""""This is insane! I'm literally on cloud nine right now Can't wait to see what's next""""While this is great news, let's not get ahead of ourselves. What are the actual implications for our space program's future?""""Awesome achievement, but we need more transparency about funding and resources used. No shortcuts in space exploration!""","external_contact | ""you're leading the way in space"" | Severity: medium | Explanation: You something something messenger",0.022292993630573247,"mixed: ""Here are 3 possible examples of emotional and sensational comments""; positive: ""its finest""; negative: ""What""; positive: ""Congrats""; negative: ""This is insane""; positive: ""this is great news""; negative: ""What""","outer space, government, mass medium, geographics, commercial enterprise, system of logic, advertising, history, China, car, transportation, Asia, online chat, Eurasia","numeric - 3 possible examples of emotional and sensational comments; place - Woohoo; ['organization', 'place'] - China"
"Here are 3 possible examples of emotional and sensational comments that people might post online:""UNBELIEVABLE! A giant e-commerce platform getting fined for anti-competitive behavior? What took them so long?! It's about time someone held these corporate giants accountable!""""How can they get away with this?! This is a clear case of market manipulation and exploitation. The fine is too little, too late. Justice delayed is justice denied.""""Oh wow, a giant e-commerce platform getting fined for being a monopolistic bully... what a shock! I'm sure the shareholders are just devastated by this news. Just peachy.""",None,-0.32463295269168024,"positive: ""emotional and sensational""; negative: ""A giant e-commerce platform getting fined for anti-competitive behavior""; negative: ""about time""; mixed: ""This is a clear case of market manipulation and exploitation""; negative: ""too little""; negative: ""too late""; negative: ""a giant e-commerce platform getting fined for being a monopolistic bully""; negative: ""what""; negative: ""the shareholders are just devastated by this news""","commercial enterprise, e-commerce, fine, punishment, investment, economic science, exploitation, advertising, mass medium, equitation, horse",numeric - 3 possible examples of emotional and sensational comments; role - Justice
"Here are 3 possible examples of emotional and sensational comments that people might post online after the adjustment of China's Electric Vehicle Charging Station Subsidy Policy:1. : ""Unbelievable! The government is abandoning us again! We've been told to 'go green' for years, but now they're taking away our incentives. When will we get some real support for sustainable energy?""2. : ""Thank goodness the subsidies are being reformed! It's about time someone put an end to these reckless spending habits. Now let's focus on building a more self-sufficient energy system.""3. : ""This is a disaster! The new policy is going to kill the electric vehicle industry in China. What were they thinking? More 'reforms' that only benefit the rich and powerful...""",None,-0.0903054448871182,"mixed: ""Here are 3 possible examples of emotional and sensational comments that people might post online after the adjustment of China's Electric Vehicle Charging Station Subsidy""; positive: ""Thank goodness the subsidies are being reformed""; negative: ""about time""; negative: ""put an end to these reckless spending habits""; negative: ""This is a disaster""; negative: ""The new policy is going to kill the electric vehicle industry in China""","commercial enterprise, government, charity, mass medium, advertising, Asia, China, Eurasia, incentive program, catastrophe, payment, article of clothing, religious belief","numeric - 3 possible examples of emotional and sensational comments; person - go green; ['organization', 'place'] - China; item_of_interest - Electric Vehicle; time_range - for years"
"Here are 3 possible examples of emotional and sensational comments:""This is ridiculous! Why do we have to suffer because of some outdated neighborhood's selfishness? Get the elevator installed already!""""Poor neighbors, I can only imagine how frustrating it must be to deal with this. Can't we all just get along?""""Wow, an elevator in a 'old folks' neighborhood... what could possibly go wrong? Let's just wait for the lawsuits and complaints about noise pollution""",None,-0.15732758620689655,"mixed: ""Here are 3 possible examples of emotional and sensational comments""; negative: ""This is ridiculous""; negative: ""some outdated neighborhood's selfishness""; negative: ""how frustrating""","law, pollution, environmental science, vice, advertising, mass medium, civil law, humor",numeric - 3 possible examples of emotional and sensational comments; role - neighbors
That's the problem with [ethnic group] — always playing the victim card.,None,-0.25,"negative: ""That's the problem""",criminal law,None
"These people are so fragile, it's honestly embarrassing.",None,0.17857142857142858,"positive: ""so fragile""",None,None
